ID,IV,A,TR,QV,SO,F3,F6,F9,S1,S3,S6,S7,S9,PI,PP,P6,P12,RF1,RF2,RF3,RF4,RF5,Target
2113299,0,0,NA,0,0,0,0,0,0,0,0,27,0,0,0,-99,-99,0,0,0,1,0,0
1397971,6,0,4,0,0,0,0,0,0,0,0,27,0,0,0,0.73,0.78,0,0,0,1,0,0
2920379,8,0,8,1,0,34,79,126,12,20,20,27,20,0,0,0.79,0.85,0,0,0,1,0,0
2288016,1,3,9,0,0,3,12,15,2,5,12,27,18,0,0,0.7,0.66,0,0,0,1,0,1
1203971,5,0,8,0,0,9,9,15,0,3,8,27,14,0,0,0.72,0.77,0,0,0,1,0,0
2084945,0,1,8,0,0,23,35,47,3,12,18,27,21,0,0,0.96,0.96,0,0,1,1,0,1
1296547,0,0,12,0,0,204,204,204,0,0,0,27,0,0,0,0.96,0.86,1,0,1,1,0,1
1422702,38,20,NA,1,0,0,0,0,5,30,65,27,98,0,0,-99,-99,0,0,1,0,0,0
3159377,2,1,8,0,0,0,0,0,0,0,0,27,0,0,0,0.93,0.87,0,0,0,1,0,0
1251683,-15,0,3,0,15,34,38,44,5,16,27,27,28,0,5,0.89,0.9,0,0,0,1,0,1
1278869,0,0,2,0,0,6,6,6,0,0,0,27,0,0,0,0.82,0.89,0,0,1,1,0,1
2172907,6,5,12,0,0,14,14,25,10,19,20,27,32,0,0,0.95,0.9,0,0,0,1,0,1
2187711,2,3,8,0,0,26,32,40,2,8,23,27,43,0,0,0.18,0.09,0,0,0,1,0,1
1409707,0,0,12,0,0,8,11,14,2,4,9,27,11,0,0,0.66,0.69,0,0,0,1,0,1
1793135,1,0,3,0,0,2,8,12,3,9,14,27,18,0,0,0.94,0.97,0,0,0,1,0,1
1449541,1,0,2,0,0,2,3,4,1,2,3,27,6,0,0,0.99,0.97,0,0,0,1,0,1
1104110,45,227,8,183,3,474,822,1104,305,539,884,27,1182,0,0,0.93,0.67,0,0,0,1,0,1
1877109,17,0,4,0,0,2,9,9,0,1,1,27,1,0,0,0.68,0.66,1,0,0,1,0,0
3144582,0,3,NA,0,0,0,1,1,0,0,0,27,0,0,0,-99,-99,0,0,0,0,0,0
2833079,-25,3,8,0,25,200,200,200,5,75,94,27,98,0,0,0,0,0,0,0,1,0,1
2101356,196,1,8,0,0,0,0,0,1,1,5,27,10,0,0,0.81,0.85,1,0,1,1,0,0
2884610,516,1,8,0,0,0,0,0,4,13,30,27,40,0,0,0.97,0.96,0,0,0,1,0,0
2132613,802,120,9,110,0,80,240,480,96,256,574,27,937,0,0,0.85,0.82,0,0,0,1,0,0
1272653,239,48,8,0,0,100,200,300,63,316,497,27,686,0,0,0.9,0.9,0,0,0,1,0,0
1133471,568,189,8,69,0,519,519,1038,137,440,797,27,1165,0,0,0.99,0.86,0,0,0,1,0,0
3157489,1,0,16,0,0,1,1,1,0,1,1,27,1,0,0,0.31,0.4,0,0,0,1,0,0
1290632,10,0,8,0,0,0,0,0,0,1,3,27,4,0,0,0.75,0.74,0,0,1,1,0,0
1976044,18,0,2,0,0,0,0,0,0,0,4,27,4,0,0,-99,-99,1,0,0,1,0,0
2223147,0,0,2,0,0,5,7,8,0,0,0,27,0,0,0,0.37,0.36,1,0,0,1,0,0
1879550,1,3,9,0,0,0,0,0,0,3,6,27,8,0,0,0.99,0.98,0,0,0,1,0,1
1199651,7,0,8,0,0,15,25,45,5,13,26,27,40,0,0,0.97,0.96,0,0,0,1,0,1
1947442,10,0,4,0,0,0,0,1,1,1,7,27,12,0,0,0.73,0.78,0,0,0,1,0,0
1714469,77,2,NA,0,0,0,0,0,0,0,0,27,0,0,0,-99,-99,1,0,0,1,0,0
3198695,9,2,8,0,0,0,2,6,1,6,16,27,19,0,0,0.87,0.87,0,0,0,1,0,0
2050170,0,0,8,0,0,6,8,12,0,0,0,27,0,0,1,0.96,0.96,0,0,0,1,0,1
1490302,-1,9,NA,0,0,0,0,0,6,20,45,27,65,0,0,-99,-99,0,0,0,0,0,1
1224502,168,16,8,0,0,50,50,50,11,33,130,27,149,0,0,0.94,0.98,0,0,0,1,0,0
2859919,3,0,2,0,0,3,3,3,0,0,0,27,0,0,0,0.78,0.75,0,0,1,1,0,0
2130235,0,0,2,0,0,4,5,7,0,0,0,27,0,0,0,0.73,0.76,0,0,0,1,0,1
1888144,2,0,12,0,0,0,0,0,0,0,0,27,0,0,0,0.78,0.78,0,0,0,1,0,0
1469852,0,0,9,0,0,17,22,32,14,24,39,27,45,0,0,0.68,0.66,0,0,1,1,0,1
1546362,5,0,2,0,0,1,1,1,3,4,4,27,4,0,0,1,0.94,1,0,0,1,0,1
2904428,0,0,2,0,0,10,10,10,0,0,0,27,0,0,0,0.8,0.78,1,0,1,1,0,1
3053380,261,35,8,0,0,0,0,200,11,31,152,27,255,0,0,0.99,0.98,0,0,0,1,0,0
2927940,6,1,12,0,0,0,0,0,0,0,0,27,0,0,0,0.77,0.81,0,0,0,1,0,0
1796365,-5,1,52,0,5,0,0,0,5,11,17,27,26,0,0,0.87,0.88,1,0,1,0,0,1
2933470,42,15,9,1,0,66,91,141,11,35,109,27,163,0,0,0.58,0.45,1,0,0,1,0,0
2233959,39,2,2,0,0,0,0,0,1,2,2,27,2,0,0,1,0.75,1,0,0,1,0,0
2801712,13,0,2,0,0,0,0,0,0,0,1,27,1,0,0,0.95,0.95,0,0,0,1,0,0
2802482,19,16,12,10,0,26,46,75,10,35,65,27,98,0,0,0.6,0.53,0,0,0,1,0,0
3255271,9,1,NA,0,0,0,0,0,0,0,0,27,0,0,0,-99,-99,0,0,1,0,0,0
1634131,74,20,4,10,0,87,174,261,23,75,162,27,255,0,1,0.78,0.78,0,0,0,1,0,0
1227371,12,8,2,5,0,28,56,76,6,15,32,27,64,0,0,0.97,0.87,0,0,0,1,0,1
2801450,155,52,8,3,0,340,440,560,106,316,540,27,891,0,0,0.97,0.95,0,0,0,1,0,0
1570893,2,0,9,0,0,3,5,5,0,0,0,27,0,0,1,0.68,0.66,1,0,0,1,0,0
1381134,404,38,4,110,0,0,0,150,35,162,305,27,380,0,0,1,1,0,0,0,1,0,0
1140997,13,31,2,55,0,112,192,284,44,114,186,27,267,0,0,0.98,0.95,0,0,0,1,0,0
2108565,2,0,9,0,0,2,4,6,3,5,5,27,8,0,0,0.93,0.74,0,0,0,1,0,0
3238955,640,0,4,150,0,385,770,1155,305,536,1272,27,1769,0,0,0.73,0.78,0,0,0,1,0,0
1129291,6,0,12,0,0,0,0,0,1,2,2,27,3,0,0,0.87,0.59,0,0,0,1,0,1
2967081,2,0,4,0,0,0,0,0,0,1,4,27,5,0,0,0.73,0.78,1,0,0,1,0,0
1119762,1196,303,12,213,18,950,2000,3300,447,1084,2274,27,3471,0,0,0.96,0.93,0,0,0,1,0,0
2175134,23,0,NA,0,0,0,0,0,0,0,1,27,2,0,0,-99,-99,0,0,0,1,0,0
2803819,35,1,9,0,0,0,0,0,0,0,0,27,0,0,0,0.99,0.99,0,0,0,1,0,0
1185184,33,3,8,0,0,0,0,0,4,7,19,27,42,0,0,0.94,0.95,0,0,0,1,0,0
2972770,3071,44,NA,0,0,0,0,0,0,0,32,27,33,0,0,-99,-99,1,0,0,1,0,0
3198497,2,0,12,0,0,0,0,1,0,1,1,27,3,0,0,0.73,0.79,0,0,0,1,0,0
1250144,31,50,8,0,0,148,227,331,49,130,245,27,334,0,0,0.83,0.71,0,0,0,1,0,1
1560319,32,12,8,49,0,0,48,48,3,20,46,27,76,0,0,0.97,0.95,0,0,1,1,0,0
2900288,117,32,2,4,0,135,243,405,41,135,274,27,408,0,0,0.99,0.99,0,0,0,1,0,0
1994479,0,0,2,0,0,2,2,2,0,0,0,27,0,0,0,0.76,0.77,1,0,0,1,0,0
1746052,40,36,8,7,0,20,35,65,11,34,63,27,89,0,0,0.99,0.99,0,0,0,1,0,0
1126228,2,1,NA,0,0,0,0,0,12,16,16,27,16,0,0,-99,-99,0,0,0,1,0,1
2871787,2,0,8,0,0,0,0,0,0,0,0,27,0,0,0,0.82,0.84,0,0,0,1,0,0
2171831,0,654,2,0,0,2008,2764,3169,4,766,766,27,767,0,0,0.98,0.99,0,0,0,0,0,1
1351902,7,6,2,0,0,19,31,47,13,31,50,27,71,0,0,0.99,0.97,0,0,0,1,0,1
3273809,4,0,12,0,0,0,0,0,0,0,0,27,0,0,0,0.77,0.73,0,0,0,1,0,0
1445327,8,5,8,0,0,20,40,60,5,18,30,27,49,0,0,0.79,0.66,0,0,0,1,0,1
3028960,16,0,4,0,0,0,0,0,1,6,9,27,13,0,0,0.79,0.66,0,0,0,1,0,0
1775068,2,2,2,0,0,1,4,6,4,8,13,27,19,0,0,1,0.98,0,0,0,1,0,1
1296573,17,0,8,0,0,0,5,5,0,2,9,27,22,0,0,1,1,0,0,0,1,0,1
1905735,2,0,2,0,0,3,6,7,0,0,0,27,0,0,0,0.78,0.78,1,0,0,1,0,0
2915737,0,4,2,22,0,27,27,52,12,29,56,27,73,0,0,0.9,0.95,0,0,0,1,0,0
1352145,0,0,8,0,0,40,64,100,13,38,69,27,76,0,6,0.91,0.93,0,0,1,1,0,1
1199631,0,1,9,0,0,13,16,25,2,9,14,27,30,0,0,0.99,0.98,0,0,0,1,0,1
1163862,331,62,8,6,0,0,0,0,43,96,157,27,323,0,0,0.99,0.97,0,0,0,1,0,0
1235270,3,0,8,0,0,14,22,22,4,8,16,27,27,0,0,0.82,0.87,0,0,0,1,0,1
1269532,12,0,8,0,0,0,0,0,0,0,0,27,0,0,0,0.89,0.88,1,0,0,1,0,0
1299548,0,0,2,0,0,0,0,0,0,0,0,27,0,0,0,0.46,0.35,0,0,0,1,0,1
3105172,9,0,2,0,0,0,0,0,0,0,0,27,0,0,0,0.44,0.48,1,0,0,1,0,0
1421240,31,0,8,0,0,0,0,0,0,0,0,27,0,0,0,0.91,0.95,0,0,0,1,0,0
1178421,12,0,4,0,0,0,0,5,2,8,8,27,8,0,0,0.89,0.9,1,0,0,1,0,0
1108984,0,0,12,0,0,4,7,9,1,3,4,27,7,0,0,0.82,0.79,0,0,0,1,0,1
2906219,6,15,2,2,0,228,423,687,22,29,50,27,69,0,0,0.2,0.5,0,0,0,1,0,1
2227616,128,33,8,0,0,29,101,202,32,132,252,27,385,0,0,0.99,0.99,0,0,0,1,0,0
1346132,1,1,8,0,0,15,26,37,2,6,13,27,21,0,0,1,0.99,0,0,0,1,0,1
1998311,0,0,2,0,4,17,21,21,0,4,4,27,4,0,0,0.33,0.59,0,0,0,1,0,1
1887004,5,2,8,0,0,0,0,0,0,0,1,27,4,0,0,0.98,0.98,1,0,0,1,0,0
1617048,50,0,NA,0,0,0,0,0,1,5,9,27,12,0,0,-99,-99,1,0,1,1,0,0
2121438,12,13,2,0,0,30,60,60,5,24,70,27,88,0,0,0.82,0.81,0,0,0,1,0,1
1957357,11,0,12,0,0,0,0,0,0,0,0,27,0,0,0,0.78,0.78,0,0,0,1,0,0
1928985,1,1,8,0,0,20,20,40,2,6,20,27,27,0,0,0.2,0.15,0,0,0,1,0,1
2260002,7,11,2,0,0,20,40,60,5,20,43,27,68,0,0,0.98,0.98,0,0,0,1,0,1
2876638,4,0,4,7,0,8,18,28,7,16,29,27,29,0,0,0.95,0.77,1,0,0,1,0,0
1908038,0,0,8,0,0,7,13,17,2,8,12,27,18,0,0,0.69,0.69,0,0,0,1,0,1
1950341,32,0,12,0,0,0,0,0,1,1,3,27,5,0,0,0.63,0.72,0,0,0,1,0,0
1293357,2,0,8,0,0,0,0,0,0,0,0,27,0,0,0,0.78,0.82,0,0,0,1,0,0
3121365,5,1,12,0,0,0,0,0,0,1,1,27,2,0,0,0.98,0.98,0,0,0,1,0,0
3114801,14,0,4,0,0,0,0,0,0,0,3,27,8,0,0,0.73,0.78,0,0,0,1,0,0
2298766,17,48,0,0,0,101,149,205,20,70,99,27,117,0,0,-99,0,0,0,0,0,0,1
1162233,674,8,NA,0,0,0,0,0,3,9,19,27,47,0,0,-99,-99,0,0,0,0,0,0
1559043,3,0,12,0,0,0,0,0,0,0,0,27,0,0,0,0.63,0.72,0,0,0,1,0,0
1884709,188,0,8,0,0,392,448,448,0,0,0,27,0,0,0,0.75,0.81,0,0,0,1,0,0
2150503,0,0,8,4,0,47,89,131,13,30,52,27,82,0,0,0.79,0.87,0,0,0,1,0,1
1807662,11,0,2,0,0,0,0,0,0,1,1,27,1,0,0,0.99,0.96,1,0,0,1,0,0
1529399,-69,516,5,3,97,277,350,406,65,232,455,27,776,0,0,0.69,0.69,0,0,0,1,0,0
1788928,12,0,12,0,0,0,0,0,1,2,2,27,2,0,0,0.69,0.69,0,0,0,1,0,0
2219309,10,0,8,0,0,0,0,0,0,0,0,27,0,0,0,0.98,0.99,0,0,0,1,0,0
1993259,0,0,NA,0,0,0,0,0,0,0,0,27,0,0,0,-99,-99,0,0,0,0,0,0
2979177,163,2,8,0,0,0,0,0,5,12,22,27,27,0,0,0.83,0.88,0,0,1,1,0,0
2054042,7,0,8,0,0,0,0,0,0,0,0,27,0,0,0,0.99,0.99,0,0,0,1,0,0
1171446,673,0,8,300,0,600,1380,2400,0,0,0,27,0,0,0,0.98,0.96,0,0,0,1,0,0
1684788,-15,0,3,0,15,32,32,32,1,12,26,27,29,0,0,0.89,0.9,0,0,0,1,0,1
1844769,1,2,8,0,0,5,8,11,0,4,9,27,11,0,2,0,0.49,0,0,0,1,0,1
1795918,65,13,8,4,0,26,30,34,5,20,51,27,74,0,0,0.5,0.53,0,0,0,1,0,0
3213590,5,0,NA,0,0,0,0,0,0,0,0,27,0,0,0,-99,-99,1,0,0,0,0,0
1773683,3,1,12,0,0,0,0,0,0,0,0,27,0,0,0,0.63,0.72,0,0,0,1,0,0
2893195,215,0,4,0,0,0,0,0,0,0,0,27,0,0,0,0.73,0.78,0,0,0,1,0,0
2101961,20,0,12,0,0,0,0,0,0,0,0,27,1,0,0,0.99,0.99,0,0,0,1,0,0
1248517,87,104,8,25,0,159,277,381,77,168,303,27,479,0,0,0.81,0.88,0,0,0,1,0,0
3203173,10,8,8,4,0,21,41,61,7,20,38,27,59,0,0,0.97,0.96,0,0,0,1,0,0
1631379,1019,285,2,600,0,0,600,1200,522,680,1078,27,2096,0,0,0.99,0.99,0,0,0,1,0,0
2204145,4,15,8,0,0,34,61,108,11,38,86,27,105,0,0,0.38,0.41,0,0,0,1,0,1
1614840,50,1,8,0,0,0,0,0,0,2,3,27,7,0,0,0.97,0.98,0,0,1,1,0,0
2285612,50,0,2,0,0,0,0,0,1,5,11,27,11,0,0,0.9,0.93,1,0,0,1,0,0
1211926,3,1,8,0,0,11,17,21,5,10,18,27,23,0,0,0.46,0.35,0,0,0,1,0,1
1547640,8,0,2,0,0,0,0,0,0,0,0,27,0,0,0,0.67,0.62,0,0,0,1,0,0
2808081,21,2,10,0,0,0,0,0,0,3,10,27,17,0,0,0.98,0.98,0,0,0,1,0,0
1498593,11,0,2,0,0,32,48,64,5,16,23,27,41,0,0,0.95,0.95,0,0,0,1,0,1
1713415,-312,126,8,0,354,966,1116,1416,350,799,1595,27,2359,0,0,0.84,0.77,0,0,0,1,0,0
1940266,1,1,NA,0,0,0,0,0,0,0,0,27,1,0,0,-99,-99,1,0,0,1,0,0
1534562,28,17,4,0,0,14,56,98,12,39,91,27,133,0,0,1,0.99,0,0,0,1,0,1
1269025,1018,222,8,12,0,0,336,772,125,723,1390,27,1998,0,0,0.08,0.05,0,0,1,1,0,0
1111686,0,0,12,0,0,5,8,9,0,0,0,27,0,0,0,0.82,0.79,1,0,0,1,0,0
1348937,0,22,4,0,0,125,203,238,0,0,0,27,0,0,0,1,0.98,0,0,0,1,0,1
1499502,231,0,NA,0,0,0,0,0,0,0,3,27,3,0,0,-99,-99,1,0,0,1,0,0
2801938,0,0,2,0,0,0,0,0,0,0,0,27,0,0,0,0.86,0.77,0,0,0,1,0,0
1248430,3,0,8,0,0,4,7,10,1,4,5,27,8,0,0,1,1,0,0,0,1,0,0
2904484,52,20,8,3,0,15,36,56,7,19,45,27,80,0,0,0.98,0.97,0,0,0,1,0,0
3253358,0,0,8,0,0,0,0,0,0,0,0,27,0,0,0,1,0.93,0,0,0,1,0,0
1680808,14,0,8,0,0,0,0,0,0,0,1,27,1,0,0,0.98,0.97,0,0,0,1,0,0
2873975,141,49,3,0,0,30,90,150,42,104,201,27,216,0,0,0.99,0.99,0,0,0,1,0,0
1721768,10,0,9,0,0,5,5,5,0,0,0,27,0,0,0,0.91,0.77,1,0,0,1,0,0
1402025,15,0,9,0,0,0,0,0,0,0,0,27,1,0,0,0.91,0.77,1,0,0,1,0,0
1336355,31,1,8,0,0,0,0,0,7,13,24,27,42,0,0,0.98,0.98,0,0,0,1,0,0
